CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	BETA_c	SE_c	Tstat_c	var_c	p.value_c	p.value.NA_c	Is.SPA.converge	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.145245	0.773778	-0.242588	1.6702	0.851105	0.851105	false	-0.130797	0.774562	-0.218014	1.66682	0.865903	0.865903	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.0213617	0.84238	-0.0301038	1.40924	0.979769	0.979769	false	-0.0274631	0.842503	-0.0386907	1.40883	0.973996	0.973996	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.13893	1.06941	-0.995875	0.874399	0.286876	0.286876	false	-1.14512	1.06951	-1.00112	0.874245	0.284303	0.284303	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.385485	0.912037	-0.463429	1.2022	0.67254	0.67254	false	-0.25	3.0012e+07	-2.77556e-16	1.11022e-15	1	1	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001000	UR	UR	5	0.0025	0	3.62268	1.39929	1.40409	0.387584	0.00962714	0.0241119	true	3.61691	1.40001	1.40174	0.387553	0.00978061	0.0243438	0.0102041	0.00166297	98	902
UR	UR	GENE1:lof:0.010000	UR	UR	45	0.0225	0	-0.301473	0.523157	-1.1015	3.65373	0.564441	0.564441	false	-0.307986	0.523367	-1.1244	3.6508	0.556216	0.556216	0.0204082	0.0227273	98	902
UR	UR	GENE1:missense;lof:0.001000	UR	UR	10	0.005	0	2.15697	1.10751	1.75852	0.81527	0.0514651	0.0514651	false	2.15126	1.10761	1.75356	0.815133	0.0521056	0.0521056	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof:0.010000	UR	UR	54	0.027	0	-0.253641	0.479238	-1.10437	4.35408	0.596626	0.596626	false	-0.260224	0.479473	-1.13193	4.34983	0.587316	0.587316	0.0255102	0.0271619	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001000	UR	UR	10	0.005	0	2.15697	1.10751	1.75852	0.81527	0.0514651	0.0514651	false	2.15126	1.10761	1.75356	0.815133	0.0521056	0.0521056	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof;synonymous:0.010000	UR	UR	54	0.027	0	-0.253641	0.479238	-1.10437	4.35408	0.596626	0.596626	false	-0.260224	0.479473	-1.13193	4.34983	0.587316	0.587316	0.0255102	0.0271619	98	902
1	60	rs60	A	C	11	0.0055	0	1.25495	0.951814	1.38524	1.10381	0.18734	0.18734	false	1.30298	0.955866	1.42608	1.09448	0.172837	0.172837	0.0153061	0.00443459	98	902
1	70	rs70	A	C	12	0.006	0	-0.205973	1.01488	-0.199976	0.970886	0.839172	0.839172	false	-0.163167	1.02041	-0.156706	0.960406	0.872957	0.872957	0.00510204	0.00609756	98	902
1	91	rs91	A	C	13	0.0065	0	0.781344	1.01458	0.759056	0.971474	0.441229	0.441229	false	0.775474	1.01468	0.753204	0.971283	0.444713	0.444713	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001000	UR	UR	5	0.0025	0	-1.31906	1.50367	-0.583388	0.442275	0.380364	0.380364	false	-1.32518	1.50374	-0.586043	0.442235	0.378179	0.378179	0	0.00277162	98	902
UR	UR	GENE2:lof:0.010000	UR	UR	9	0.0045	0	-1.27302	1.23204	-0.838657	0.658794	0.301482	0.301482	false	-1.2792	1.23212	-0.842616	0.658707	0.299174	0.299174	0	0.00498891	98	902
UR	UR	GENE2:missense;lof:0.001000	UR	UR	15	0.0075	0	-0.0150588	0.82369	-0.0221955	1.47392	0.985414	0.985414	false	-0.0211006	0.823814	-0.0310912	1.47347	0.979566	0.979566	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof:0.010000	UR	UR	41	0.0205	0	-0.116538	0.562135	-0.368794	3.1646	0.835766	0.835766	false	-0.122996	0.562338	-0.388954	3.16232	0.826866	0.826866	0.0204082	0.02051	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001000	UR	UR	15	0.0075	0	-0.0150588	0.82369	-0.0221955	1.47392	0.985414	0.985414	false	-0.0211006	0.823814	-0.0310912	1.47347	0.979566	0.979566	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof;synonymous:0.010000	UR	UR	41	0.0205	0	-0.116538	0.562135	-0.368794	3.1646	0.835766	0.835766	false	-0.122996	0.562338	-0.388954	3.16232	0.826866	0.826866	0.0204082	0.02051	98	902
