CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	p.value.NA_c	Is.SPA.converge	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.151416	0.780781	-0.248378	1.64037	0.846232	0.846232	false	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.0217295	0.842337	-0.0306251	1.40938	0.979419	0.979419	false	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.16842	1.08677	-0.989282	0.846685	0.282319	0.282319	false	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.390329	0.923871	-0.457307	1.17159	0.672666	0.672666	false	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001000	UR	UR	5	0.0025	0	3.65102	1.62027	1.40351	0.384416	0.0242375	0.0235939	true	0.0102041	0.00166297	98	902
UR	UR	GENE1:lof:0.010000	UR	UR	45	0.0225	0	-0.307963	0.526802	-1.1097	3.60334	0.558823	0.558823	false	0.0204082	0.0227273	98	902
UR	UR	GENE1:missense;lof:0.001000	UR	UR	10	0.005	0	2.17351	1.11279	1.75523	0.807557	0.0507956	0.0507956	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof:0.010000	UR	UR	54	0.027	0	-0.260285	0.482802	-1.11663	4.29005	0.589809	0.589809	false	0.0255102	0.0271619	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001000	UR	UR	10	0.005	0	2.17351	1.11279	1.75523	0.807557	0.0507956	0.0507956	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof;synonymous:0.010000	UR	UR	54	0.027	0	-0.260285	0.482802	-1.11663	4.29005	0.589809	0.589809	false	0.0255102	0.0271619	98	902
1	4	rs4	A	C	20	0.01	0	-0.151416	0.780781	-0.248378	1.64037	0.846232	0.846232	false	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.0217295	0.842337	-0.0306251	1.40938	0.979419	0.979419	false	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.16842	1.08677	-0.989282	0.846685	0.282319	0.282319	false	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.390329	0.923871	-0.457307	1.17159	0.672666	0.672666	false	0.00510204	0.00886918	98	902
