CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	p.value.NA_c	Is.SPA.converge	AF_case	AF_ctrl	N_case	N_ctrl
1	4	rs4	A	C	20	0.01	0	-0.0671353	0.790122	-0.107538	1.60181	0.932287	0.932287	false	0.0102041	0.00997783	98	902
1	17	rs17	A	C	12	0.006	0	-0.055114	0.829992	-0.0800045	1.45162	0.947057	0.947057	false	0.0102041	0.00554324	98	902
1	31	rs31	A	C	16	0.008	0	-1.16934	1.06739	-1.02634	0.877711	0.273293	0.273293	false	0	0.00886918	98	902
1	33	rs33	A	C	17	0.0085	0	-0.409289	0.914089	-0.489839	1.19681	0.654329	0.654329	false	0.00510204	0.00886918	98	902
UR	UR	GENE1:lof:0.001	UR	UR	5	0.0025	0	3.59574	1.60529	1.39977	0.389286	0.0250954	0.0248657	true	0.0102041	0.00166297	98	902
UR	UR	GENE1:lof:0.01	UR	UR	45	0.0225	0	-0.307315	0.523015	-1.12345	3.65571	0.556812	0.556812	false	0.0204082	0.0227273	98	902
UR	UR	GENE1:missense;lof:0.001	UR	UR	10	0.005	0	2.11755	1.10264	1.74169	0.8225	0.0548013	0.0548013	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof:0.01	UR	UR	54	0.027	0	-0.253177	0.480647	-1.0959	4.3286	0.598372	0.598372	false	0.0255102	0.0271619	98	902
UR	UR	GENE1:missense;lof;synonymous:0.001	UR	UR	10	0.005	0	2.11755	1.10264	1.74169	0.8225	0.0548013	0.0548013	false	0.0153061	0.00388027	98	902
UR	UR	GENE1:missense;lof;synonymous:0.01	UR	UR	54	0.027	0	-0.253177	0.480647	-1.0959	4.3286	0.598372	0.598372	false	0.0255102	0.0271619	98	902
1	60	rs60	A	C	11	0.0055	0	1.21321	0.946793	1.3534	1.11555	0.200055	0.200055	false	0.0153061	0.00443459	98	902
1	70	rs70	A	C	12	0.006	0	-0.126391	1.04775	-0.115133	0.91093	0.903984	0.903984	false	0.00510204	0.00609756	98	902
1	91	rs91	A	C	13	0.0065	0	0.743404	1.00656	0.73375	0.987015	0.460174	0.460174	false	0.0102041	0.00609756	98	902
UR	UR	GENE2:lof:0.001	UR	UR	5	0.0025	0	-1.2531	1.56779	-0.509815	0.406841	0.424127	0.424127	false	0	0.00277162	98	902
UR	UR	GENE2:lof:0.01	UR	UR	9	0.0045	0	-1.23458	1.26476	-0.771801	0.625152	0.328995	0.328995	false	0	0.00498891	98	902
UR	UR	GENE2:missense;lof:0.001	UR	UR	15	0.0075	0	0.0436204	0.838589	0.0620284	1.42201	0.958516	0.958516	false	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof:0.01	UR	UR	41	0.0205	0	-0.107241	0.566182	-0.334542	3.11953	0.84977	0.84977	false	0.0204082	0.02051	98	902
UR	UR	GENE2:missense;lof;synonymous:0.001	UR	UR	15	0.0075	0	0.0436204	0.838589	0.0620284	1.42201	0.958516	0.958516	false	0.0102041	0.00720621	98	902
UR	UR	GENE2:missense;lof;synonymous:0.01	UR	UR	41	0.0205	0	-0.107241	0.566182	-0.334542	3.11953	0.84977	0.84977	false	0.0204082	0.02051	98	902
